posted_date,author_name,author_headline,author_type,is_repost,likes,comments,reposts,total_engagement,summary,post_text,post_url
2026-09-08,Alyson Weinstein,"EVP & Global CRO, Data360 and Tableau at Salesforce | Global Distribution Leader Driving Category Growth in Data & Analytics",person,no,1017,179,0,1196,"Alyson Weinstein announces becoming EVP & Global CRO of Data360 and Tableau at Salesforce, thanking colleagues, and says she's counting down to Dreamforce next week.","I'm so excited to share that I have moved into the role of EVP & Global CRO of Data360 and Tableau at Salesforce!

Stepping into a role of this scope is exciting and I'm energized by what's ahead. I'll be partnering closely with Mark Recher and Rahul Auradkar on the product side as we work together to drive customer success and growth across both businesses. I couldn't be more optimistic about where we're headed.

I owe so much to the people who believed in me along the way. A special thank you to Connor Marsden, whose support and guidance have meant more than I can say, and to Alexa Vignone and Miguel Milano, along with the entire executive team, for their confidence and backing.

I also want to recognize my incredible Digital team, Jason Foster, Garret Martucci, Joel Oubre, Dave Young, Chris Serger, Natasha Smoot for everything we've built together. I'm so proud of what we've accomplished, and I carry that with me into this next chapter.

And the timing couldn't be better: I'm counting down to Dreamforce next week, where I'll get to reconnect with so many of our customers in person. There's nothing quite like that energy, and I can't wait. 🚀",https://www.linkedin.com/posts/alysonweinstein_im-so-excited-to-share-that-i-have-moved-ugcPost-7502805087115960320-3D1y
2026-09-08,Karishma Lalwani,Product Executive | Built & Scaled Enterprise Product Businesses | AI • CRM • Observability • Digital Transformation | Salesforce CTA | 2x Patent Inventor,person,no,49,1,6,56,"Karishma Lalwani says she's excited for Dreamforce to connect with customers and partners and showcase innovations via keynotes, sessions and workshops, urging registration.","Dreamforce is almost here! 

I'm genuinely excited about:
1.  Spending time with our customers, partners and scaleblazers
2. Showcasing our innovations across keynotes, sessions, booth and workshops

Not registered yet? There's still time — lock in your spot at dreamforce.com.

See you there!",https://www.linkedin.com/posts/karishmalalwani_dreamforce-is-almost-here-im-genuinely-activity-7503082232912384000-mR4r
2026-09-08,Dreamforce,"112,502 followers",company,no,17,0,2,19,"IBM advertises Dreamforce sessions covering multi-agent AI, trusted data, and autonomous operations, directing readers to ibm.com/events/dreamforce for the agenda.","From multi-agent AI to trusted data and autonomous operations, IBM is bringing its latest technology and consulting expertise to #DF26. Explore IBM's sessions and see what's on the agenda: ibm.com/events/dreamforce #ad",https://www.linkedin.com/posts/salesforceevents_df26-ad-activity-7503082270921056256-zHKh
2026-09-08,Nalini Krishnan,Leader - Salesforce Practice@TCS || Certified Independent Director || ICF Accredited & Trained Workplace & leadership Coach,person,yes,81,1,1,83,TCS Salesforce Practice leader Nalini Krishnan invites attendees to visit TCS at booth 400 to see the team and client work.,"Visit us at booth 400 at Dreamforce to see what our dream team looks like, the fantastic work we are delivering to  clients and the various possibilities we have to offer...
#TCSSalesforcePractice",https://www.linkedin.com/posts/nalinik_nelsonhallneat-dreamforce2026-salesforce-activity-7503085280283922432-bjK3
2026-09-08,Manisha Raisinghani,,person,no,133,3,0,136,Manisha Raisinghani describes watching Moscone Center's Dreamforce setup from her apartment and invites contacts to meet for coffee during the event.,"My apartment view now comes with a Dreamforce countdown 😄

Watching Moscone get ready, one banner at a time. Hard not to get excited when it’s happening right outside your window!

Looking forward to catching up with familiar faces and meeting new ones. If you’re coming to Dreamforce, let’s find time for a coffee.

See you all there next week!",https://www.linkedin.com/posts/manisha-raisinghani_my-apartment-view-now-comes-with-a-dreamforce-activity-7503093675539927041-YGLy
2026-09-08,Samuel Panal,Audience Specialist at Delhaize Belgium,person,no,2,1,0,3,"Samuel Panal promotes a Brussels Belgium Marketer Group meetup on Sept 22 featuring Michela Maffei, Andreea Arcaleanu, and Kenny Van Beeck discussing AI, Salesforce MCN, and Dreamforce updates.","How is AI actually transforming marketing in 2026? What missed updates from the summer need your attention? And what just went down at Dreamforce?

Find out at the upcoming autumn Belgium Marketer Group meetup! 🍁

We’ve put together a powerhouse agenda designed to give you actionable insights you can take straight back to your team:

- AutoScout24's AI Playbook: Learn from Michela Maffei on shifting from standard automation to true Marketing Intelligence safely.

- Salesforce MCN Insights: Get the complete summer recap with Andreea Arcaleanu.

- Dreamforce Unlocked: Get a first-look debrief from Kenny Van Beeck on the newest features and platform updates.

📅 Date: September 22nd, 18:00 - 21:30
📍 Location: Salesforce Offices (Bd Baudouin 29, Brussels)

Come for the insights, stay for the great food, cold drinks, community giveaways 🎁, and connections!

👇 Ready to join us? Secure your spot via the link in the comments.

Shoutout to the host team: Alina Makarova  ☀️ Jens Standaert ☀️  Kenny Van Beeck",https://www.linkedin.com/posts/samuel-panal_how-is-ai-actually-transforming-marketing-activity-7503093963856359425--dYg
2026-09-08,Salesloft,,company,no,47,4,11,62,"Salesloft announces a branded Lambo cruising San Francisco during Dreamforce, offering a LEGO version prize to fans who photograph and tag it.","Catch us at Dreamforce… if you can!

We’ll be cruising around San Francisco in a Salesloft-branded Lambo.

If you can find it, you’ll have a chance to win your own LEGO version.

Find the fastest booth at Dreamforce, snap a photo, and tag us here on LinkedIn to enter.",https://www.linkedin.com/posts/salesloft_catch-us-at-dreamforce-if-you-can-well-activity-7503095116765536257-zPhA
2026-09-08,Outreach,,company,no,51,2,5,58,"Outreach announces team members Abhijit Mitra, Holly Simmons, Nadia Rashid, and Nithya Lakshmanan will offer Dreamforce 1:1 consultations on Outreach AI agents.","Heading to Dreamforce? Skip the show-floor line and talk agentic AI with us 💬

Abhijit Mitra, Holly Simmons, Nadia Rashid, Nithya Lakshmanan, and more of the Outreach team will be there with time set aside for 1:1 expert consultations.

Tell us what you want to solve, and we’ll dig into how Outreach AI agents can put your Salesforce data, customer interactions, market signals, and playbooks to work across your GTM motion.

Ready to stop renting software and start hiring agents?

Grab some time with the team: https://lnkd.in/eNgTdnhB",https://www.linkedin.com/posts/outreach-saas_outreach-dreamforce-2026-activity-7503095953797574656-ZKhu
2026-09-08,Rich Englhard,Business Process Automation | Salesforce Consulting | CEO @ Englhard Consulting,person,no,8,0,0,8,Rich Englhard invites JAX Salesforce Admins to a Sept 23 meetup at Legacy Ale Works covering Winter '27 Admin highlights and a Dreamforce recap.,"JAX Salesforce Admins, we're meeting again! 🎉   Sept 23, 5-7 at Legacy Ale Works: Winter 27 Admin Highlights and Dreamforce recap.  Sign up and join us!

https://lnkd.in/ev79hZiS",https://www.linkedin.com/posts/englhard_winter-27-admin-highlights-dreamforce-activity-7503097371573145600-5tSU
2026-09-08,Dreamforce,"112,502 followers",company,no,111,0,24,135,"Infosys announces its role as Dreamforce 2026 Supporting Partner, inviting attendees to its welcome reception at The Westin St. Francis on Union Square.",The future isn't more AI Work. It’s more AI that works. Infosys is a Supporting Partner for Dreamforce 2026 & meet Infosys at The Westin St. Francis on Union Square. Join Infosys Salesforce Services at the welcome reception: shortner.infy.com/Ue2x5 #ad,https://www.linkedin.com/posts/salesforceevents_ad-activity-7503097413591621632-QfcN
2026-09-08,Tim Ziter,Salesforce Community Group Leader | Salesforce Marketing Champion | Director at Kearney,person,no,25,0,0,25,Tim Ziter promotes two Kearney-hosted Dreamforce events: a Sept 14 RCS/Marketing Cloud master class with Vonage and a Sept 16 Day One breakfast recap.,"Dreamforce is one week away!

Don't miss these two events brought to you by the Kearney team:

Kick off Dreamforce before it beings by joining Kearney and Vonage for a hands-on RCS + Marketing Cloud Master Class. We’ll explore how to bring richer, more interactive messaging experiences into Salesforce and Marketing Cloud. Space is limited to 20 participants, so RSVP soon.
📅 Monday, September 14 | 2:00–3:30 PM
📍 Hyatt SOMA👉 Reserve your spot: https://lnkd.in/gGsNY4di
🚀 Scan the QR code on the image below to get a sneak peek on how to use RCS in event marketing

And while you’re there, join us for a Kearney-hosted breakfast recap of Day One:
📅 Wednesday, September 16 | 7:30–8:30 AM
📍 The Campton Room, Taj Campton Place
👉 RSVP: https://lnkd.in/geXiegQQ

Looking forward to seeing everyone next week!

#MarketingChampions #Salesforce #MarketingCloud #RCS #Agentforce #Kearney",https://www.linkedin.com/posts/tim-ziter-92589bb_marketingchampions-salesforce-marketingcloud-activity-7503100139125755904-nNTk
2026-09-08,Santiago Suarez Ordoñez,Head of Momentum @ Salesforce,person,no,85,6,0,91,"Santiago Suarez Ordoñez, heading to his first Dreamforce as a Salesforce employee, announces five talks and Momentum's role in the Wednesday Sept 16 Agentforce Sales keynote.","So excited to be heading out to San Francisco for my very first Dreamforce as a Salesforce employee. I have 5 talks to present at and more than a dozen customer meeting. 

I'm proud to say Momentum will be a big part of the Agentforce Sales keynote. Join us Wednesday, Sept 16 @ 9AM. Add it to your agenda here: https://lnkd.in/gazBxgTg

Not registered yet? There's still time — lock in your spot at dreamforce.com.

See you there!

#salesforce #agentforce #sales",https://www.linkedin.com/posts/santiycr_salesforce-dreamforce-2026-activity-7503104932775034881-EF6Y
2026-09-08,Tom Wentworth,,person,no,154,121,1,276,Tom Wentworth argues Dreamforce and Unbound attendees mostly take a work vacation for celebrities like Usher and Aziz Ansari rather than gaining real ROI.,"Hot take because I crave some LinkedIn engagement: people go to Dreamforce or Unbound to take a mini vacation. I'd love to see Tom Brady and vibe to Usher, but I've got real work to do. Most of you who go to these shows stay out late, sleep in, and check a box by going to a session or two and posting about them on LinkedIn. And don't forget to max out that sweet sweet expense account. 

""But Tom it's all about the hallway conversations"" is a cope. 

It's fine to take a mini work vacation, but don't try and convince me there's some massive ROI from hearing Aziz Ansari or Reese Witherspoon ramble about things that have nothing to do with your job. 

</rantOff>",https://www.linkedin.com/posts/twentworth_hot-take-because-i-crave-some-linkedin-engagement-activity-7503107899120885761-Div4
2026-09-08,Informatica,"381,802 followers",company,no,2804,36,59,2899,Informatica announces its debut appearance at Dreamforce as part of the Salesforce family.,We’re excited to announce our Dreamforce debut as part of the Salesforce family!,https://www.linkedin.com/posts/informatica_were-excited-to-announce-our-dreamforce-activity-7503108027156365312-ieKS
2026-09-08,Apollo.io,,company,no,11,1,1,13,"Apollo.io announces booths at HubSpot's UNBOUND (Boston, Sept 16-18, booth #99) and Dreamforce (San Francisco, Sept 15-17, booth #227), inviting attendees to meet in person.","MADE YA LOOK.


We'll be boots on the ground in Boston at HubSpot' UNBOUND AND in San Fransisco at Salesforce's Dreamforce in the coming weeks (lucky us!) 

Let's meet IRL and chat all things AI, GTM, and AI GTM. 

UNBOUND 2026, Boston 
Septemer 16-18
Booth #99

Dreamforce 2026, San Fransisco
September 15-17 
Booth #227

Come find us, we can't wait to meet you.",https://www.linkedin.com/posts/apolloio_irl-url-activity-7503112932256501760-aZ1q
2026-09-08,Seismic,,company,no,16,0,3,19,"Seismic invites Dreamforce attendees to its Seismic Lounge at Per Diem near Moscone for demos, talks with Seismic and Salesforce leaders, and a Wednesday Sept 16 happy hour from 4-6PM.","Headed to Dreamforce next week? ✈️ 

Join us at the Seismic Lounge at Per Diem – Transit Center, just down the street from Moscone, to see how AI-powered enablement is helping customer-facing teams work smarter and drive better business results. 

Stop by for live demos, conversations with Seismic and Salesforce leaders, and fantastic food and refreshments. 

And stick around for happy hour, Wednesday, September 16, from 4–6PM for drinks, connections, and time with the expanded Seismic community.

Save your spot ➡️ https://lnkd.in/ejrYQ4i9",https://www.linkedin.com/posts/seismic_headed-to-dreamforce-next-week-join-activity-7503114184411287552-E0_0
2026-09-08,Salesforce Admins,"173,898 followers",company,no,88,3,5,96,Salesforce Admins announces that Salesforce admins are attending Dreamforce to learn about bringing the Agentic Enterprise to life.,We’re excited to announce that #AwesomeAdmins are heading to Dreamforce to learn how to bring the Agentic Enterprise to life!,https://www.linkedin.com/posts/salesforce-admins_awesomeadmins-ugcPost-7502104297120104448-OaXS
2026-09-08,Salesforce Architects,"64,606 followers",company,no,62,3,4,69,"Salesforce Architects announces it will be discussing architecture topics at Dreamforce, framed as architecting what's next.",We’re excited to announce we’re architecting what’s next at Dreamforce!,https://www.linkedin.com/posts/salesforce-architects_were-excited-to-announce-were-architecting-ugcPost-7503120541180993537-kI3h
2026-09-08,Sales Cloud,"86,810 followers",company,no,65,2,4,71,Sales Cloud announces it will present the future of agentic selling at Dreamforce.,We’re excited to announce the future of agentic selling at Dreamforce!,https://www.linkedin.com/posts/salesforcesalescloud_were-excited-to-announce-the-future-of-agentic-ugcPost-7503058685582151680-k-3Y
2026-09-08,MuleSoft,"295,648 followers",company,no,55,2,5,62,MuleSoft announces it will address bringing order to the agentic enterprise at Dreamforce.,We’re excited to announce we’re bringing order to the agentic enterprise at Dreamforce!,https://www.linkedin.com/posts/mulesoft_were-excited-to-announce-were-bringing-ugcPost-7503122351371223041-L1Za
2026-09-08,Slack,"1,811,633 followers",company,no,189,4,6,199,Slack announces its presence at Dreamforce with the tagline that Dreamforce has entered the conversation.,We’re excited to announce Dreamforce has entered the conversation!,https://www.linkedin.com/posts/tiny-spec-inc_were-excited-to-announce-dreamforce-has-activity-7503123164697251840-xyDl
2026-09-08,Salesforce Platform,"49,772 followers",company,no,12,1,2,15,"Salesforce Platform announces it is taking Dreamforce headless, referencing its headless platform capabilities.",We’re excited to announce we’re taking Dreamforce headless!,https://www.linkedin.com/posts/salesforce-platform_were-excited-to-announce-were-taking-dreamforce-ugcPost-7503123018941095936-gGUI
2026-09-08,Salesforce Partners,"89,960 followers",company,no,38,3,3,44,Salesforce Partners announces that its partner network will bring insights to Dreamforce.,Excited to announce that our Salesforce partners are bringing all the best insights to Dreamforce!,https://www.linkedin.com/posts/salesforce-partners_excited-to-announce-that-our-salesforce-partners-ugcPost-7503123076612579328-1xtF
2026-09-08,Tableau,"1,195,808 followers",company,no,568,4,25,597,Tableau announces it is bringing agentic analytics to Dreamforce.,We're excited to announce we're bringing agentic analytics to Dreamforce!,https://www.linkedin.com/posts/tableau-software_were-excited-to-announce-were-bringing-ugcPost-7503121036993961985-dIeQ
2026-09-08,Salesforce,"6,804,323 followers",company,no,3740,61,171,3972,Salesforce's company page announces that Dreamforce is one week away.,Excited to announce that Dreamforce is one week away!,https://www.linkedin.com/posts/salesforce_excited-to-announce-that-dreamforce-is-one-ugcPost-7503118189694926849-MDGx
2026-09-08,Trailhead,"288,428 followers",company,no,82,1,4,87,Trailhead announces it is leveling up its presence or content at Dreamforce.,We’re excited to announce we’re leveling up at Dreamforce!,https://www.linkedin.com/posts/salesforce-trailhead_were-excited-to-announce-were-leveling-ugcPost-7503128600821325824-xNq6
2026-09-08,Service Cloud,"48,883 followers",company,no,54,2,6,62,"Service Cloud's company page announces plans to reimagine service, field service, and IT & HR service offerings at Dreamforce.","We’re excited to announce we’re reimagining service, field service, and IT & HR service at Dreamforce!",https://www.linkedin.com/posts/salesforce-for-service_were-excited-to-announce-were-reimagining-ugcPost-7503129853655875586-1mtI
2026-09-08,Agentforce Commerce,"65,375 followers",company,no,14,1,4,19,"Agentforce Commerce's company page announces it has added Dreamforce to its event lineup, using a shopping-cart metaphor.",Excited to announce we've added Dreamforce to cart!,https://www.linkedin.com/posts/commercecloud-demandware_excited-to-announce-weve-added-dreamforce-ugcPost-7503130418045521920-dm0d
2026-09-08,Trailblazer Community,"9,624 followers",company,no,120,7,4,131,Trailblazer Community's company page announces it will gather the community and celebrate its 20th anniversary at Dreamforce.,We’re excited to announce that we're bringing the Trailblazer Community together and celebrating our 20th anniversary at Dreamforce!,https://www.linkedin.com/posts/trailblazer-community_were-excited-to-announce-that-were-bringing-ugcPost-7503134348364173315-YvJN
2026-09-08,Salesforce Developers,"159,327 followers",company,no,132,4,4,140,Salesforce Developers' company page announces it will focus on building what's next for developers at Dreamforce.,We’re excited to announce we’re building what’s next at Dreamforce!,https://www.linkedin.com/posts/salesforcedevs_were-excited-to-announce-were-building-ugcPost-7503111618185129984-_kGm
2026-09-08,Salesforce Data 360,"31,916 followers",company,no,92,2,5,99,Salesforce Data 360's company page announces it is bringing trusted enterprise context to Dreamforce.,"We’re excited to announce we’re bringing trusted enterprise context to 
Dreamforce!",https://www.linkedin.com/posts/sfdc-data-360_were-excited-to-announce-were-bringing-ugcPost-7503135458286022656-gpUA
2026-09-08,Patrick Thompson,,person,no,44,1,4,49,"Patrick Thompson announces two events: September 15 at The Hall in SF with Graham Murphy, and September 17 at The Barking Crab in Boston with Travis Strickland and Chris Eberhardt, offering Uber cards to attendees.","We're hosting two events next week: one in SF 🌉, one in Boston 🦞. 

🚀 Dreamforce week: September 15th at The Hall. (Me and Graham Murphy are hosting this one)

🚀 UNBOUND week: September 17th at The Barking Crab. (Travis Strickland and Chris Eberhardt from our team are hosting)

You don't need to be registered for either conference to come hang out. If you're in the city, just RSVP and swing by. 

RSVP links in the comments.

P.S. if you find us in person, we have some Uber cards to hand out that will cover your rides to / from the conference venues.",https://www.linkedin.com/posts/patrickt010_were-hosting-two-events-next-week-one-in-activity-7503136333192941568-AwDZ
2026-09-08,Salesforce Designer,"17,399 followers",company,no,58,1,3,62,Salesforce Designer's company page announces it will focus on building and designing what's next at Dreamforce.,We are excited to announce we're building and designing what's next at Dreamforce!,https://www.linkedin.com/posts/salesforce-designers_we-are-excited-to-announce-were-building-ugcPost-7503137824657907712-6_Eh
2026-09-08,Eldad Postan-Koren,,person,no,90,8,1,99,"Eldad Postan-Koren says he's returning to Dreamforce with Arik Waldman to discuss real rep AI usage, CRM data breakdowns, and AI on live sales calls.","Heading back to Dreamforce this year with the great Arik Waldman!

Every year the AI conversation on the floor gets louder. This year I want the unfiltered version of it, from the people actually running sales teams.

Happy to get into:
 → What reps actually use vs. what gets bought
 → Where CRM data still breaks down, and who ends up paying for it
 → Bringing AI into live sales calls in a Headless world

If you'll be there, drop me a message!

#Dreamforce #DF26",https://www.linkedin.com/posts/eldad-postan_dreamforce-df26-activity-7503143363874025472-lIUO
2026-09-08,James Kenna,"Senior Analyst, ISV Partner Marketing at Salesforce",person,no,22,3,0,25,"James Kenna, a Salesforce Senior Analyst, shares six conference lessons (having a POV, approaching people, connection strategy) and plugs his session on Diabsolut cutting admin tasks 70% with Staffing Agents.","Most people waste their first 2 days at any conference. 
I certainly did my first Dreamforce! But after a dozen or two conferences/events as a Partner, here's 6 lessons I wish I learned before my first.

(1) Practice your perspective (don’t wing it). 
Don’t just HAVE a perspective, hone it. Day 1 chaos hits everyone. There will be 100 things you didn't know walking in. That's fine! It's not your job to know all of them. It's your job to already have a clear POV on how you fit in, so you're not scrambling to form one on the floor.

(2) Approach people. Don't wait for the ""right moment.""
The person you most want to talk to is probably there, right now. I've wasted tons of time hovering near people building up the confidence to talk to someone I don't know. (This is also why you practice your POV. Gives you a reason to be relevant.)

(3) The Booth is just one place to meet.
I used to think getting to the booth 30 minutes early made me the MVP. In reality, I should’ve spent that time having breakfast with a warm connect or an old friend. It's so hard to get everyone in the same place. Use it!

(4) Have a connection strategy before day 1.
I don't carry business cards (Gen-Z of me, I know). But I don’t think they perform well at conferences anyway. What works for me: a photo of the badge, LinkedIn request in the moment, calendar block for follow-ups the week after. Either way, have a plan or you'll lose half your new contacts to memory.

(5) Get content as you go!
Don’t just snap photos on day 3 when you remember your Marketing Manager asked you in the Know Before You Go call. Take photos often. Record a customer interview. Try something silly/bold. Even if you're not in marketing, your marketers will thank you!!

(6) Choose your wardrobe for the whole day.
Every conference, I have grand plans to change before evening events. It almost never happens.

(Bonus)
If you’re a Salesforce Partner, stop by the partner lounge! 

Shameless Plug: I'm speaking during this session: “How Diabsolut Cut Admin Tasks by 70% with Staffing Agents.” Would love to see you there! 

And If you'll be at Dreamforce next week, drop me a message. I'll see you there! (in the meantime, Quino will try to keep convincing me not to go). 

#DF26 #Dreamforce",https://www.linkedin.com/posts/james-kenna007_df26-dreamforce-activity-7503146930877718528-jHnA
