posted_date,author_name,likes,comments,reposts,total_engagement,summary,post_url
2026-09-11,Marc Benioff,1355,81,127,1563,"Marc Benioff announces the Salesforce Trusted Enterprise AI Harness, built on six capabilities spanning context, agency, action, governance, security, and models, unveiled at Dreamforce.",https://www.linkedin.com/posts/marcbenioff_salesforce-introduces-the-trusted-enterprise-activity-7504190826714034176--lK6
2026-09-17,Salesforce,1358,25,48,1431,"Salesforce highlights Marc Benioff's #DF26 conversation with Siemens CEO Roland Busch demonstrating the Agentic Enterprise, streamed live on Salesforce+.",https://www.linkedin.com/posts/salesforce_df26-activity-7506268632730173441-w20m
2026-09-16,Salesforce,1363,18,42,1423,"Salesforce's company page shares a photo recap, calling it ""the Dreamforce Day 1 camera roll.""",https://www.linkedin.com/posts/salesforce_the-dreamforce-day-1-camera-roll-activity-7505871182303346688-5goO
2026-09-15,Salesforce,1311,11,64,1386,"Salesforce announces Marc Benioff's Main Keynote at 10 a.m. PT, livestreamed on LinkedIn.",https://www.linkedin.com/posts/salesforce_good-morning-dreamforce-2026-marc-benioff-ugcPost-7505664199172349952-BZIm
2026-09-15,Salesforce,1091,24,110,1225,"Salesforce welcomes ""Fin"" to its first Dreamforce as part of the Salesforce Ohana.",https://www.linkedin.com/posts/salesforce_welcome-fin-to-your-first-dreamforce-as-part-ugcPost-7505679103744696320-I_Wx
2026-09-08,Alyson Weinstein,1017,179,0,1196,"Alyson Weinstein announces becoming EVP & Global CRO of Data360 and Tableau at Salesforce, thanking colleagues, and says she's counting down to Dreamforce next week.",https://www.linkedin.com/posts/alysonweinstein_im-so-excited-to-share-that-i-have-moved-ugcPost-7502805087115960320-3D1y
2026-09-16,Salesforce,1018,17,146,1181,"Salesforce announces a live Jensen Huang and Marc Benioff conversation at Dreamforce, following the debut of Koa, its CRM reasoning model built on NVIDIA Nemotron.",https://www.linkedin.com/posts/salesforce_live-jensen-huang-x-marc-benioff-at-dreamforce-ugcPost-7505705721133694976-YDYJ
2026-09-15,Salesforce,856,162,140,1158,"Salesforce promotes a live Dreamforce Main Keynote stream where Marc Benioff shows how to ""unlock trapped value from anywhere"" as the #1 CRM.",https://www.linkedin.com/posts/salesforce_hey-ai-meet-the-1-crm-live-at-the-dreamforce-ugcPost-7497712783581437952-kUSW
2026-09-11,Slack,792,15,186,993,"Slack introduces Slackforce Surfaces, letting Slackbot generate live dashboards and reports from Salesforce data inside Slack, showcased at Dreamforce.",https://www.linkedin.com/posts/tiny-spec-inc_df26-activity-7504211820832931841-wGlE
2026-09-11,Tableau,938,9,41,988,"Tableau invites attendees to its DF26 keynote on agentic analytics, featuring Mark Recher, Southard Jones, and speakers from Mastercard, CrowdStrike, and IBM.",https://www.linkedin.com/posts/tableau-software_df26-activity-7504222361257164800-ak9s
2026-09-16,Erin Oles,862,33,21,916,"Salesforce President and CMO Erin Oles says Dreamforce showcases the ""Agentic Enterprise"" through customers, partners and Trailblazers, spanning Slack, Claude and Lightning after 27 years.",https://www.linkedin.com/posts/erin-oles-866317b_hey-ai-meet-the-1-crm-and-meet-thousands-activity-7506070897217400832-s_BF
2026-09-16,Anton Osika,835,35,6,876,"Anton Osika says he flew to San Francisco for Dreamforce to argue that Lovable has moved beyond ""vibes.""",https://www.linkedin.com/posts/antonosika_had-to-fly-all-the-way-to-san-francisco-for-activity-7505987465602637824-4Jke
2026-09-17,Roland Busch,815,38,23,876,"Siemens CEO Roland Busch announces connecting Siemens Teamcenter with Salesforce Agentforce, thanking Marc Benioff for hosting him at the opening keynote.",https://www.linkedin.com/posts/buschroland_df26-activity-7506247430355525633-CWOV
2026-09-16,Rohan Kumar,791,16,30,837,"Salesforce's Rohan Kumar announces Koa, a CRM reasoning model built on NVIDIA Nemotron, post-trained on synthetic data, running inside Salesforce's trust boundary without customer data.",https://www.linkedin.com/posts/rohankumar_meet-koa-built-on-nvidia-nemotron-salesforce-activity-7506113949273071617-DVhL
2026-09-15,Salesforce,740,38,30,808,"Salesforce honors Steve Molis with the Golden Hoodie at the Dreamforce 2026 Main Keynote, citing 10x MVP status and 122K+ community questions answered.",https://www.linkedin.com/posts/salesforce_as-the-trailblazer-community-celebrates-20-activity-7505674326944231424-bcjr
2026-09-18,Dr. Joerg Storm,446,327,7,780,"Dr. Joerg Storm reports Marc Benioff told him Germany's Mittelstand is a fast Agentforce and Data 360 adopter, citing 50,000 attendees and speakers Jensen Huang, Dario Amodei and Sam Altman.",https://www.linkedin.com/posts/joergstorm_dreamforce-agenticai-mittelstand-activity-7506683964028387329-J5Gb
2026-09-15,Trailblazer Community,708,45,13,766,Trailblazer Community congratulates Steve Molis on receiving a Golden Hoodie at the DF26 Main Keynote for over 20 years of community contributions.,https://www.linkedin.com/posts/trailblazer-community_df26-activity-7505709577494061056-pYQN
2026-09-18,Pascal BORNET,520,165,71,756,"Pascal Bornet's Agentic Intelligence newsletter lists Dreamforce's Salesforce news among five AI-agent developments, including OpenAI's sponsored ChatGPT agents and identity-based security.",https://www.linkedin.com/posts/pascalbornet_agenticai-aiagents-ai-activity-7506691324792733698-PLHx
2026-09-15,AIM,699,4,35,738,"AIM reports Salesforce and NVIDIA launched Koa, a CRM reasoning model built on Nemotron 3 Super, piloting with Formula 1, Xero, and UChicago Medicine.",https://www.linkedin.com/posts/analytics-india-magazine_salesforce-nvidia-dreamforce2026-activity-7505700494632452099-au6j
2026-09-16,Google Cloud,636,22,79,737,"Google Cloud announces expanded Salesforce partnership at Dreamforce, running Salesforce on Google Cloud and linking its headless architecture with Gemini Enterprise for shared-data agents.",https://www.linkedin.com/posts/google-cloud_announced-at-dreamforce-2026-were-expanding-activity-7505681331540996096-rd3-
2026-09-16,Helen Yu,503,118,10,631,"Advisor Helen Yu, in a sponsored post, details Benioff's Dreamforce keynote with Dario Amodei and Jensen Huang, covering AIforce, Siemens' SAP agent demo, and governance features like zero data retention.",https://www.linkedin.com/posts/yuhelenyu_sponsored-salesforcepartner-df26-activity-7506050864185393152-oZat
2026-09-08,Tableau,568,4,25,597,Tableau announces it is bringing agentic analytics to Dreamforce.,https://www.linkedin.com/posts/tableau-software_were-excited-to-announce-were-bringing-ugcPost-7503121036993961985-dIeQ
2026-09-18,Emma Shad,342,241,10,593,"Emma Shad, Emellex CEO, publishes a LinkedIn Today analysis of Dreamforce covering Agentforce, AIforce, Slack, and Salesforce's partnerships with NVIDIA, Anthropic, Google Cloud, AWS, and OpenAI.",https://www.linkedin.com/posts/emmashad_dreamforce2026-salesforce-agenticai-activity-7506507456483606528-7zfH
2026-09-17,Mario de Felipe,471,87,34,592,"Mario de Felipe questions Salesforce's keynote demo of agent ""Marshall"" impersonating a user across 51 SAP S/4HANA transactions, citing SAP's API policy restrictions on impersonation.",https://www.linkedin.com/posts/mario-de-felipe-103a762b_salesforce-sap-sap-activity-7506351578057121793-1liS
2026-09-18,Harry Datwani,539,5,37,581,"Deloitte's Harry Datwani promotes expanded Claudeforce collaboration among Salesforce, Anthropic and Deloitte Digital, inviting attendees to the Deloitte Digital House at Dreamforce.",https://www.linkedin.com/posts/harry-datwani-b217926_claudeforce-salesforce-anthropic-activity-7505670483225288705-yIkc
2026-09-16,Salesforce News & Insights,434,5,133,572,"Salesforce News & Insights quotes Marc Benioff describing AIforce as a dynamic interface and Jensen Huang urging companies to engage AI, linking to a keynote recap video.",https://www.linkedin.com/posts/salesforce-news_watch-the-dreamforce-keynote-in-under-7-minutes-ugcPost-7505787982902153216-S4cN
2026-09-16,Emma Shad,344,201,4,549,"Emellex CEO Emma Shad describes AIforce as an enterprise AI harness and details Koa, Salesforce's NVIDIA-built CRM reasoning model trained on synthetic data across 14 industries.",https://www.linkedin.com/posts/emmashad_salesforce-dreamforce-dreamforce2026-activity-7505821775478378496-r5W8
2026-09-16,Ghanshyam Upadhyay☁,514,18,15,547,"Ghanshyam Upadhyay reports a global Salesforce outage (incident 20004433) during Dreamforce, tied to a stuck login service, warning fast AI-driven builds risk stability.",https://www.linkedin.com/posts/ghanshyamu_trust-status-activity-7505926104336048129-w_yb
2026-09-15,Ravit Jain,505,31,1,537,"Ravit Jain, host of ""The Ravit Show,"" hypes Dreamforce and Marc Benioff's keynote, sharing a virtual link for those joining remotely.",https://www.linkedin.com/posts/ravitjain_salesforcepartner-ad-agents-activity-7505470794345369600-Tzg_
2026-09-15,Nadia Hansen,488,48,0,536,AI strategist Nadia Hansen jokes about using AI to create her own selfie with Marc Benioff and Dario Amodei at Dreamforce.,https://www.linkedin.com/posts/nadiakhansen_df26-salesforce-claudeforce-activity-7505690454672461824-FeTp
2026-09-14,Ravit Jain,476,16,27,519,"Ravit Jain, host of The Ravit Show, previews Dreamforce's Marc Benioff keynote, 1,600 breakout sessions, speakers Allie K. Miller and Anton Osika, and Dreamfest with Usher and Gwen Stefani.",https://www.linkedin.com/posts/ravitjain_ad-dreamforce-salesforce-activity-7505223733477785600-S9d2
2026-09-16,Sonam Malhotra,491,13,10,514,"Sonam Malhotra jokes that Einstein AI, Agentforce and ClaudeForce compete as rival generations, noting a year in AI equals three generations.",https://www.linkedin.com/posts/sonammalhotra_dreamforce-salesforce-ai-activity-7506078386038009857-lKzD
2026-09-16,Giovanni Crispino,498,6,8,512,Salesforce EMEA SMB EVP Giovanni Crispino previews his Dreamforce SMB keynote with Fundamental CEO Jeremy Fraenkel and directs viewers to Salesforce+ for online access.,https://www.linkedin.com/posts/gcrispino_agentforce-smb-emea-ugcPost-7505688747254972416-iFWi
2026-09-18,Guillermo Flor,434,69,7,510,"Guillermo Flor claims Benioff appeared confident onstage with Altman, arguing Salesforce leverages 150,000+ enterprise customers rather than competing on AI models.",https://www.linkedin.com/posts/guillermoflor_benioff-just-shared-a-stage-with-altman-at-activity-7506652188006514688-f6Qx
2026-09-16,Jasmine Wong,450,32,3,485,"Cybersecurity creator Jasmine Wong logs an hour-by-hour Dreamforce Day 1, covering the keynote, Slack Code demo, Security keynote on Salesforce Guardian, and creator meetups.",https://www.linkedin.com/posts/wong-jasmine_df26-activity-7505996902291898368-7QVJ
2026-09-15,Bob Vanstraelen,404,7,73,484,"Salesforce EMEA North EVP Bob Vanstraelen recaps the keynote: AIforce, Koa reasoning model on NVIDIA Nemotron, new Agentforce agents (Hunter, Piper, Casey, Paige, Marshall, Fin), and Adecco's 20,000 placements.",https://www.linkedin.com/posts/bobvanstraelen_dreamforce-agentforce-salesforce-activity-7505761603124977664-OZCb
2026-09-18,R. Stefan Deeran,398,71,5,474,"R. Stefan Deeran jokes that Marc Benioff 'framemogged' rival tech CEOs at Dreamforce, calling on short tech leaders to 'rise up.'",https://www.linkedin.com/posts/stefandeeran_at-dreamforce-salesforce-ceo-marc-benioff-activity-7506720445249916928-ECen
2026-09-13,Chris Barangan,397,68,0,465,"Sales executive Chris Barangan announces his return to Salesforce after 11 years to lead the Commercial NGO team on the West Coast, and says he is hiring Account Executives.",https://www.linkedin.com/posts/activity-7504912079305347073-8fXq
